Tub,Species,Density,Phrag_Presence,Block,Native.Biomass,Phrag.Biomass,Notes,
BOMA HWO,BOMA,H,WO,1,0.3,NA,,
SYCI LWO,SYCI,L,WO,1,29.6,NA,,
JUGE HW,JUGE,H,W,1,0.2,7.8,,
SCAM HW,SCAM,H,W,1,0.001,19.9,negligible,
DISP LW,DISP,L,W,1,6.4,12.7,,
EUMA LWO,EUMA,L,WO,1,24.3,NA,,
SCPU HW,SCPU,H,W,1,0.8,22.8,,
RUMA LW,RUMA,L,W,1,56.2,2.3,,
HENU HW,HENU,H,W,1,69.8,0.1,,
EUOC HW,EUOC,H,W,1,33.7,10.2,,
SOCA LW,SOCA,L,W,1,5.9,23.5,,
MUAS HWO,MUAS,H,WO,1,52.4,NA,,
MUAS HW,MUAS,H,W,1,50.9,9.3,,
SCAC LW,SCAC,L,W,1,0.2,37.1,,
HENU LWO,HENU,L,WO,1,104.6,NA,,
SCPU LW,SCPU,L,W,1,0.4,42.8,,
JUTO HWO,JUTO,H,WO,1,0.1,NA,,
PUNU LWO,PUNU,L,WO,1,10.5,NA,miswritten as PUNU HW,
JUAR LW,JUAR,L,W,1,1.9,46.7,,
BICE HWO,BICE,H,WO,1,114.4,NA,,
JUGE LWO,JUGE,L,WO,1,0.001,NA,negligible,
DISP HWO,DISP,H,WO,1,26.2,NA,,
JUTO LWO,JUTO,L,WO,1,NA,NA,no JUTO,
EUOC LWO,EUOC,L,WO,1,14.5,NA,,
SCAC HW,SCAC,H,W,1,0.8,16.8,,
PUNU LW,PUNU,L,W,1,11.8,14.3,,
RUMA LWO,RUMA,L,WO,1,75.9,NA,,
EUMA LW,EUMA,L,W,1,20,5.9,miswritten as HW,
SCAC HWO,SCAC,H,WO,1,3.9,NA,,
PHAU,PHAU,NA,W,1,NA,20.3,,
BICE LWO,BICE,L,WO,1,83.9,NA,,
BOMA LWO,BOMA,L,WO,1,0.4,NA,,
EPCI LWO,EPCI,L,WO,1,62.6,NA,,
HENU LW,HENU,L,W,1,51.1,0.3,,
SCPU LWO,SCPU,L,WO,1,0.6,NA,,
EUOC HWO,EUOC,H,WO,1,23.4,NA,,
SCAC LWO,SCAC,L,WO,1,1.4,NA,,
JUAR LWO,JUAR,L,WO,1,3.2,NA,,
HENU HWO,HENU,H,WO,1,87.6,NA,,
RUMA HW,RUMA,H,W,1,73.8,0.001,,negligible; too small to collect so no bag
EPCI HWO,EPCI,H,WO,1,57.5,NA,,
BICE LW,BICE,L,W,1,110.9,0.9,,
JUGE HWO,JUGE,H,WO,1,0.8,NA,,
EPCI HW,EPCI,H,W,1,56.7,0.6,,
JUTO LW,JUTO,L,W,1,0.001,18.2,negligible,
EUMA HWO,EUMA,H,WO,1,40.6,NA,,
SOCA LWO,SOCA,L,WO,1,8.5,NA,miswritten as SCAC LWO,
SYCI HWO,SYCI,H,WO,1,50.5,NA,,
JUGE LW,JUGE,L,W,1,NA,30.2,no JUGE; there is a bag with a negigible amount but I think it is a mistake,
EPCI LW,EPCI,L,W,1,47.6,13.6,,
PUNU HWO,PUNU,H,WO,1,25.8,NA,,
SCAM LW,SCAM,L,W,1,0.1,44.5,,
SYCI HW,SYCI,H,W,1,NA,43.6,no SYCI,
JUTO HW,JUTO,H,W,1,0.1,23.9,,
EUMA HW,EUMA,H,W,1,47.4,7.2,,
SOCA HWO,SOCA,H,WO,1,28.9,NA,,
RUMA HWO,RUMA,H,WO,1,91.2,NA,,
PUNU HW,PUNU,H,W,1,34.1,19.7,,
MUAS LWO,MUAS,L,WO,1,36.9,NA,,
BOMA HW,BOMA,H,W,1,0.1,30.8,,
JUAR HW,JUAR,H,W,1,3.4,44.9,,
DISP HW,DISP,H,W,1,23.3,26.8,,
SOCA HW,SOCA,H,W,1,21.9,16.2,,
DISP LWO,DISP,L,WO,1,0.4,NA,,
BOMA LW,BOMA,L,W,1,0.001,3.4,negligible,
