"","contrast","estimate","SE","df","t.ratio","p.value"
"1","BICE - BOMA",-3.16457271623213,0.567862537643057,70,-5.57277951344853,6.08574785919691e-05
"2","BICE - DISP",-2.44919678398982,0.567862537632643,70,-4.3130099657573,0.00600329324543003
"3","BICE - EPCI",-0.19138997049778,0.567862537599749,70,-0.337035739858365,0.999999999995724
"4","BICE - EUMA",-2.4617575148163,0.567862537632863,70,-4.33512928160069,0.0055770593299781
"5","BICE - EUOC",-1.79212702738253,0.56786253762306,70,-3.15591698456453,0.163041232785681
"6","BICE - HENU",0.322723224806571,0.567862537592247,70,0.568312229531686,0.999999978655874
"7","BICE - JUAR",-4.5198123105827,0.567862537662893,70,-7.95934228939373,3.20761994743179e-09
"8","BICE - JUGE",-3.08406320593369,0.567862537641888,70,-5.43100310638664,0.000105412704448971
"9","BICE - JUTO",-3.01351461594292,0.567862537640909,70,-5.3067677759869,0.000169653288050409
"10","BICE - MUAS",-2.17045031233949,0.567862537628622,70,-3.82214033946178,0.0281632619466781
"11","BICE - PUNU",-2.89126274990176,0.567862537639126,70,-5.09148351627863,0.000381822815794575
"12","BICE - RUMA",0.310190078703629,0.567862537592432,70,0.54624149009502,0.999999988598828
"13","BICE - SCAC",-3.69613083238095,0.567862537650807,70,-6.50884780614599,1.41908820849856e-06
"14","BICE - SCAM",-4.03040250344177,0.606343001169965,70,-6.64706691701717,8.02821402912102e-07
"15","BICE - SCPU",-3.24034768690002,0.567862537644156,70,-5.70621844565231,3.60842261326599e-05
"16","BICE - SOCA",-2.82595222407358,0.567862537638131,70,-4.97647236218004,0.000584457850601572
"17","BICE - SYCI",-2.01083365947581,0.567862537508599,70,-3.54105708099359,0.0624336035655687
"18","BOMA - DISP",0.715375932242304,0.586232893839637,70,1.22029306059034,0.998793867607371
"19","BOMA - EPCI",2.97318274573435,0.586232893839679,70,5.07167505777566,0.000411034443644875
"20","BOMA - EUMA",0.70281520141583,0.586232893839675,70,1.19886688174826,0.999027883959739
"21","BOMA - EUOC",1.37244568884959,0.586232893839646,70,2.34112705593931,0.65176999202692
"22","BOMA - HENU",3.4872959410387,0.586232893839679,70,5.94865279257494,1.37866871129377e-05
"23","BOMA - JUAR",-1.35523959435058,0.586232893839678,70,-2.31177678460534,0.672219910330831
"24","BOMA - JUGE",0.0805095102984339,0.586232893839618,70,0.137333662345566,1
"25","BOMA - JUTO",0.151058100289205,0.586232893839671,70,0.257675920059372,1
"26","BOMA - MUAS",0.994122403892637,0.58623289383968,70,1.69578066044944,0.961108977031055
"27","BOMA - PUNU",0.273309966330365,0.586232893839668,70,0.466213972641927,0.99999999910047
"28","BOMA - RUMA",3.47476279493575,0.586232893839682,70,5.92727366793922,1.50165492969201e-05
"29","BOMA - SCAC",-0.531558116148821,0.586232893839614,70,-0.906735397714221,0.999975851507573
"30","BOMA - SCAM",-0.865829787209649,0.62268796765724,70,-1.39047136315672,0.994560405309
"31","BOMA - SCPU",-0.0757749706678902,0.58623289383961,70,-0.1292574529068,1
"32","BOMA - SOCA",0.338620492158545,0.58623289383963,70,0.577621105394979,0.999999972424162
"33","BOMA - SYCI",1.15373905675632,0.586232893839628,70,1.96805581686096,0.873785659747494
"34","DISP - EPCI",2.25780681349204,0.586232893839703,70,3.85138199718524,0.0258199698833175
"35","DISP - EUMA",-0.0125607308264744,0.5862328938397,70,-0.0214261788420031,1
"36","DISP - EUOC",0.657069756607289,0.586232893839671,70,1.12083399534894,0.999581137422842
"37","DISP - HENU",2.77192000879639,0.586232893839704,70,4.72835973198448,0.00143484869364718
"38","DISP - JUAR",-2.07061552659288,0.586232893839703,70,-3.53206984519545,0.0639640169088876
"39","DISP - JUGE",-0.634866421943871,0.586232893839643,70,-1.08295939824477,0.999731035232079
"40","DISP - JUTO",-0.564317831953099,0.586232893839696,70,-0.962617140530859,0.999944468385444
"41","DISP - MUAS",0.278746471650332,0.586232893839705,70,0.475487599859162,0.999999998763418
"42","DISP - PUNU",-0.44206596591194,0.586232893839693,70,-0.75407908794832,0.999998341212974
"43","DISP - RUMA",2.75938686269345,0.586232893839706,70,4.70698060734877,0.00154813559784428
"44","DISP - SCAC",-1.24693404839113,0.586232893839639,70,-2.12702845830452,0.791335322201286
"45","DISP - SCAM",-1.58120571945195,0.622687967676288,70,-2.53932274515052,0.510246497386764
"46","DISP - SCPU",-0.791150902910195,0.586232893839635,70,-1.34955051349714,0.996093382020406
"47","DISP - SOCA",-0.37675544008376,0.586232893839655,70,-0.642671955195351,0.999999854115664
"48","DISP - SYCI",0.438363124514011,0.586232893839785,70,0.747762756270401,0.9999985371108
"49","EPCI - EUMA",-2.27036754431852,0.586232893839741,70,-3.87280817602699,0.0242166719245367
"50","EPCI - EUOC",-1.60073705688475,0.586232893839712,70,-2.73054800183633,0.379933641211226
"51","EPCI - HENU",0.514113195304351,0.586232893839743,70,0.876977734799188,0.999984951579231
"52","EPCI - JUAR",-4.32842234008492,0.586232893839746,70,-7.38345184238015,3.70869757126968e-08
"53","EPCI - JUGE",-2.89267323543591,0.586232893839684,70,-4.93434139543006,0.000682120468256331
"54","EPCI - JUTO",-2.82212464544514,0.586232893839738,70,-4.81399913771581,0.00105586738252894
"55","EPCI - MUAS",-1.97906034184171,0.586232893839746,70,-3.37589439732583,0.0961441156387959
"56","EPCI - PUNU",-2.69987277940398,0.586232893839735,70,-4.6054610851333,0.00221367502981529
"57","EPCI - RUMA",0.501580049201409,0.586232893839746,70,0.855598610163494,0.999989431489428
"58","EPCI - SCAC",-3.50474086188317,0.586232893839681,70,-5.97841045548975,1.22384637302186e-05
"59","EPCI - SCAM",-3.83901253294399,0.622687967736383,70,-6.1652267778671,5.76707237687213e-06
"60","EPCI - SCPU",-3.04895771640224,0.586232893839677,70,-5.20093251068246,0.000253350938753227
"61","EPCI - SOCA",-2.6345622535758,0.586232893839697,70,-4.49405395238059,0.00325641307892199
"62","EPCI - SYCI",-1.81944368897803,0.586232893839686,70,-3.10361924091483,0.183285030278437
"63","EUMA - EUOC",0.669630487433763,0.586232893839709,70,1.14226017419087,0.999467332679857
"64","EUMA - HENU",2.78448073962287,0.586232893839742,70,4.74978591082618,0.00132932059850854
"65","EUMA - JUAR",-2.05805479576641,0.586232893839741,70,-3.51064366635322,0.0677434734338012
"66","EUMA - JUGE",-0.622305691117396,0.586232893839681,70,-1.0615332194027,0.999792882983855
"67","EUMA - JUTO",-0.551757101126625,0.586232893839734,70,-0.941190961688795,0.999959315113746
"68","EUMA - MUAS",0.291307202476807,0.586232893839743,70,0.496913778701133,0.999999997485512
"69","EUMA - PUNU",-0.429505235085465,0.586232893839731,70,-0.732652909106269,0.999998922864907
"70","EUMA - RUMA",2.77194759351992,0.586232893839744,70,4.72840678619047,0.00143460836201725
"71","EUMA - SCAC",-1.23437331756465,0.586232893839677,70,-2.10560227946238,0.803698834397378
"72","EUMA - SCAM",-1.56864498862548,0.622687967675994,70,-2.5191509553011,0.524621581070165
"73","EUMA - SCPU",-0.77859017208372,0.586232893839673,70,-1.32812433465505,0.99673951189313
"74","EUMA - SOCA",-0.364194709257285,0.586232893839693,70,-0.621245776353306,0.999999913787234
"75","EUMA - SYCI",0.450923855340485,0.586232893839688,70,0.769188935112527,0.999997771323774
"76","EUOC - HENU",2.1148502521891,0.586232893839712,70,3.60752573663556,0.0520664511262455
"77","EUOC - JUAR",-2.72768528320017,0.586232893839713,70,-4.65290384054425,0.00187426091819931
"78","EUOC - JUGE",-1.29193617855116,0.586232893839652,70,-2.20379339359373,0.744288117275419
"79","EUOC - JUTO",-1.22138758856039,0.586232893839705,70,-2.08345113587972,0.816095044802361
"80","EUOC - MUAS",-0.378323284956956,0.586232893839714,70,-0.645346395489702,0.999999844443612
"81","EUOC - PUNU",-1.09913572251923,0.586232893839702,70,-1.87491308329719,0.911334020146029
