"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"1","BICE / BOMA",0.49788348323901,0.0953844768623552,68,1,-3.64019990316759,0.0480827241291604
"2","BICE / DISP",0.579983353622174,0.113032604295735,68,1,-2.79520534919373,0.340220084053652
"3","BICE / EPCI",1.13103265484047,0.243791822111207,68,1,0.571246643743008,0.999999976385069
"4","BICE / EUMA",0.603632181293106,0.118549213410985,68,1,-2.57030496989951,0.488645395417361
"5","BICE / EUOC",0.522496582218249,0.100419245631417,68,1,-3.37755752161405,0.0964593703148229
"6","BICE / HENU",2.22293182025909,0.558770311035425,68,1,3.17793884695246,0.155841350869786
"7","BICE / JUAR",0.346447007248973,0.0640743943077391,68,1,-5.73150374062607,3.49697364067092e-05
"8","BICE / JUGE",0.4384560981423,0.0828321943775004,68,1,-4.36430692484039,0.00518914244862023
"9","BICE / JUTO",0.594724530997558,0.12288775295093,68,1,-2.5149189457876,0.527883857464132
"10","BICE / MUAS",0.476859298157149,0.0908756176797845,68,1,-3.88586552767816,0.0236465851582656
"11","BICE / PUNU",0.489421237905045,0.0937068784697888,68,1,-3.73192460418867,0.0371183615680986
"12","BICE / RUMA",1.88351806723576,0.453543282697334,68,1,2.62937011614666,0.447642263697822
"13","BICE / SCAC",0.404944725782225,0.0760477787771252,68,1,-4.8137097694831,0.00109715725905279
"14","BICE / SCAM",0.326147128090906,0.0663632835799279,68,1,-5.50631920704828,8.36525806998667e-05
"15","BICE / SCPU",0.538227144085712,0.103355304790695,68,1,-3.22594035443855,0.139447380120709
"16","BICE / SOCA",0.49251676752118,0.0946558338769816,68,1,-3.68507197847117,0.0424050073665578
"17","BICE / SYCI",0.447570743282361,0.08449562301632,68,1,-4.25834331019975,0.00735984169267201
"18","BOMA / DISP",1.16489775850578,0.213128039187237,68,1,0.834250695562207,0.999992539900587
"19","BOMA / EPCI",2.2716814132545,0.465792155609077,68,1,4.00170037116253,0.0166298136746585
"20","BOMA / EUMA",1.21239647751747,0.223458013632373,68,1,1.04496723063489,0.999829415770676
"21","BOMA / EUOC",1.04943545991748,0.188882778830649,68,1,0.268090825417254,1
"22","BOMA / HENU",4.46476313252586,1.08143106767527,68,1,6.17723215372056,5.98972619159088e-06
"23","BOMA / JUAR",0.695839526539706,0.119862510117742,68,1,-2.10521712590825,0.803659298804896
"24","BOMA / JUGE",0.880639974818804,0.15545632020358,68,1,-0.720041291660001,0.999999155687394
"25","BOMA / JUTO",1.19450544357998,0.232949198946607,68,1,0.911366663139228,0.999973652979068
"26","BOMA / MUAS",0.957772881026124,0.17074322500218,68,1,-0.242016823274676,1
"27","BOMA / PUNU",0.983003562843833,0.176217909873174,68,1,-0.0956268995909688,1
"28","BOMA / RUMA",3.78304991156249,0.875845882862602,68,1,5.74697391079515,3.2918801958326e-05
