Tub,Block,Biomass (g),Notes,
BOMA HWO,1,0.3,,
SYCI LWO,1,29.6,,
JUGE HW,1,0.2,,
JUGE HW PHAU,1,7.8,,
SCAM HW,1,<0.1,negligible,
SCAM HW PHAU,1,19.9,,
DISP LW,1,6.4,,
DISP LW PHAU,1,12.7,,
EUMA LWO,1,24.3,,
SCPU HW,1,0.8,,
SCPU HW PHAU,1,22.8,,
RUMA LW,1,56.2,,
RUMA LW PHAU,1,2.3,,
HENU HW,1,69.8,,
HENU HW PHAU,1,0.1,,
EUOC HW,1,33.7,,
EUOC HW PHAU,1,10.2,,
SOCA LW,1,5.9,,
SOCA LW PHAU,1,23.5,,
MUAS HWO,1,52.4,,
MUAS HW,1,50.9,,
MUAS HW PHAU,1,9.3,,
SCAC LW,1,0.2,,
SCAC LW PHAU,1,37.1,,
HENU LWO,1,104.6,,
SCPU LW,1,0.4,,
SCPU LW PHAU,1,42.8,,
JUTO HWO,1,0.1,,
PUNU LWO,1,10.5,miswritten as PUNU HW,
JUAR LW,1,1.9,,
JUAR LW PHAU,1,46.7,,
BICE HWO,1,114.4,,
JUGE LWO,1,<0.1,negligible,
DISP HWO,1,26.2,,
JUTO LWO,1,NA,no JUTO,
EUOC LWO,1,14.5,,
SCAC HW,1,0.8,,
SCAC HW PHAU,1,16.8,,
PUNU LW,1,11.8,,
PUNU LW PHAU,1,14.3,,
RUMA LWO,1,75.9,,
EUMA LW,1,20,miswritten as HW,
EUMA LW PHAU,1,5.9,miswritten as HW,
SCAC HWO,1,3.9,,
PHAU,1,20.3,,
BICE LWO,1,83.9,,
BOMA LWO,1,0.4,,
EPCI LWO,1,62.6,,
HENU LW,1,51.1,,
HENU LW PHAU,1,0.3,,
SCPU LWO,1,0.6,,
EUOC HWO,1,23.4,,
SCAC LWO,1,1.4,,
JUAR LWO,1,3.2,,
HENU HWO,1,87.6,,
RUMA HW,1,73.8,,
RUMA HW PHAU,1,<0.01,negligible; too small to collect so no bag,
EPCI HWO,1,57.5,,
BICE LW,1,110.9,,
BICE LW PHAU,1,0.9,,
JUGE HWO,1,0.8,,
EPCI HW,1,56.7,,
EPCI HW PHAU,1,0.6,,
JUTO LW,1,<0.01,negligible,
JUTO LW PHAU,1,18.2,,
EUMA HWO,1,40.6,,
SOCA LWO,1,8.5,miswritten as SCAC LWO,
SYCI HWO,1,50.5,,
JUGE LW,1,NA,no JUGE; there is a bag with a negigible amount but I think it is a mistake,
JUGE LW PHAU,1,30.2,,
EPCI LW,1,47.6,,
EPCI LW PHAU,1,13.6,,
PUNU HWO,1,25.8,,
SCAM LW,1,0.1,,
SCAM LW PHAU,1,44.5,,
SYCI HW,1,NA,no SYCI,
SYCI HW PHAU,1,43.6,,
JUTO HW,1,0.1,,
JUTO HW PHAU,1,23.9,,
EUMA HW,1,47.4,,
EUMA HW PHAU,1,7.2,,
SOCA HWO,1,28.9,,
RUMA HWO,1,91.2,,
PUNU HW,1,34.1,,
PUNU HW PHAU,1,19.7,,
MUAS LWO,1,36.9,,
BOMA HW,1,0.1,,
BOMA HW PHAU,1,30.8,,
JUAR HW,1,3.4,,
JUAR HW PHAU,1,44.9,,
DISP HW,1,23.3,,
DISP HW PHAU,1,26.8,,
SOCA HW,1,21.9,,
SOCA HW PHAU,1,16.2,,
DISP LWO,1,0.4,,
BOMA LW,1,<0.1,negligible,
BOMA LW PHAU,1,3.4,,
SCPU HWO,1,0.2,,
BICE HW,1,59.2,,
BICE HW PHAU,1,0.2,,
SYCI LW,1,17.8,,
SYCI LW PHAU,1,1.5,,
SCAM HWO,1,<0.1,negligible,
EUOC LW,1,7.4,,
EUOC LW PHAU,1,4.9,,
MUAS LW,1,6.6,,
MUAS LW PHAU,1,13.3,,
JUAR HWO,1,2.6,,
SCAM LWO,1,NA,no SCAM,
JUAR HWO,2,2.4,,
HENU LW,2,77,,
HENU LW PHAU,2,0.5,,
SOCA HW,2,5.5,,
SOCA HW PHAU,2,4.3,another bag w/ negligible amount a mistake from SOCA HW,
BOMA HWO,2,<0.1,negligible,
RUMA LW,2,35.8,,
RUMA LW PHAU,2,0.9,,
BICE LWO,2,50.6,,
PUNU HWO,2,20.7,,
SCPU HWO,2,1.2,,
EUOC HWO,2,15.6,,
JUGE LW,2,<0.1,negligible,
JUGE LW PHAU,2,15.6,,
SCPU LW,2,<0.1,negligible,
SCPU LW PHAU,2,2.5,,
SCAC HW,2,0.3,,
SCAC HW PHAU,2,8.3,,
BICE HWO*,2,54.1,,
BICE HWO PHAU,2,0.3,,
EPCI LW,2,16.3,,
EPCI LW PHAU,2,0.2,,
EPCI HWO,2,48.6,,
EUOC LW,2,6.3,,
EUOC LW PHAU,2,11.4,,
SCAC LWO,2,0.3,,
SYCI LW,2,23.7,,
SYCI LW PHAU,2,10,,
HENU HW,2,71.8,,
HENU HW PHAU,2,0.2,,
SCPU LWO,2,0.4,,
JUTO LWO,2,<0.1,negligible,
MUAS LW,2,13.7,,
MUAS LW PHAU,2,20.1,,
SCAM HW*,2,0.1,,
BOMA LW,2,<0.1,negligible,
BOMA LW PHAU,2,17.1,,
JUGE HWO,2,0.1,,
HENU HWO,2,58.9,,
JUAR LWO,2,1,,
SYCI HW,2,41.9,,
SYCI HW PHAU,2,7.7,,
PHAU,2,26.6,,
EPCI LWO,2,52.8,,
BICE HW,2,98.8,,
BICE HW PHAU,2,0.6,,
HENU LWO,2,61.5,,
DISP HWO,2,32,,
PUNU LWO,2,18.2,,
BOMA HW,2,0.2,,
BOMA HW PHAU,2,25.1,,
SYCI LWO,2,31.6,,
BOMA LWO,2,0.1,,
RUMA HW,2,78.2,,
RUMA HW PHAU,2,0.4,,
SOCA HWO,2,21.4,accidentally labeled HW,
SCAM HWO,2,0.2,,
SCAC HWO,2,3.3,,
MUAS HWO,2,65.5,,
SOCA LW,2,6.8,,
SOCA LW PHAU,2,26.9,,
EPCI HW,2,80.7,,
EPCI HW PHAU,2,1.7,,
JUTO HWO,2,0.2,,
BICE LW,2,92.6,,
BICE LW PHAU,2,4.1,,
JUTO LW,2,NA,no JUTO,
JUTO LW PHAU,2,19,,
SYCI HWO,2,59.7,,
EUMA LWO,2,24.2,,
JUGE HW,2,0.7,,
JUGE HW PHAU,2,14.6,,
RUMA LWO,2,90.1,,
SCAC LW,2,0.6,,
SCAC LW PHAU,2,42.1,,
SOCA LWO,2,11.9,,
DISP LW,2,12.7,,
DISP LW PHAU,2,27.6,,
SCAM LWO,2,NA,no SCAM,
EUMA LW,2,26.1,,
EUMA LW PHAU,2,25.6,,
JUAR LW,2,0.7,,
JUAR LW PHAU,2,18.4,,
EUMA HWO,2,36,,
DISP HW,2,24,,
DISP HW PHAU,2,5.2,,
PUNU HW,2,38.4,,
PUNU HW PHAU,2,8.3,,
EUOC HW,2,40.1,,
EUOC HW PHAU,2,14.4,,
SCAM LW,2,NA,no SCAM,
SCAM LW PHAU,2,37.4,,
EUMA HW,2,39.3,,
EUMA HW PHAU,2,20.5,,
MUAS HW,2,63.4,,
MUAS HW PHAU,2,4.4,,
SCPU HW,2,2.3,,
SCPU HW PHAU,2,49.6,,
JUAR HW,2,3.7,,
JUAR HW PHAU,2,39.8,,
DISP LWO,2,37.8,,
EUOC LWO,2,33.2,,
RUMA HWO,2,96.1,,
MUAS LWO,2,72.1,,
JUTO HW,2,NA,no JUTO,
JUTO HW PHAU,2,22.6,,
JUGE LWO,2,<0.1,negligible,
PUNU LW,2,8.1,,
PUNU LW PHAU,2,47.1,,
JUTO HWO,3,<0.1,negligible,
SCAM HW,3,<0.1,negligible,
SCAM HW PHAU,3,19,,
EPCI HWO,3,87.5,,
JUGE HW,3,<0.1,negligible,
JUGE HW PHAU,3,20.5,,
BICE HWO,3,79.5,,
HENU HW,3,62.4,,
HENU HW PHAU,3,1,,
BOMA LW,3,NA,no BOMA,
BOMA LW PHAU,3,25.8,,
SCAC LWO,3,0.6,,
HENU LW,3,33.9,,
HENU LW PHAU,3,0.6,,
JUTO HW,3,<0.1,negligible,bag missing - maybe not collected; only 1 plant grew in that tub so negigible
JUTO HW PHAU,3,5.3,,
JUTO LW,3,NA,no JUTO,
JUTO LW PHAU,3,10.5,,
JUGE LWO,3,0.1,bag chewed,
SYCI LWO,3,36.6,,
EPCI HW,3,59.6,,
EPCI HW PHAU,3,<0.1,negligible,
JUAR LW,3,1.5,,
JUAR LW PHAU,3,18.1,,
RUMA HW,3,49.9,,
RUMA HW PHAU,3,<0.1,negligible,
SOCA HW,3,14.8,,
SOCA HW PHAU,3,12.5,,
PUNU LW,3,13.5,,
PUNU LW PHAU,3,7.9,,
EPCI LW,3,33.4,,
EPCI LW PHAU,3,0.4,,
SCPU LWO,3,0.2,,
HENU LWO,3,48.5,,
SCAC HW,3,1.2,,
SCAC HW PHAU,3,15.1,,
HENU HWO,3,63.6,,
JUTO LWO,3,NA,no JUTO,
SYCI HWO,3,38,,
SCPU LW,3,0.4,,
SCPU LW PHAU,3,18.8,,
SCAC LW,3,0.3,,
SCAC LW PHAU,3,19.9,,
SCAM LWO,3,NA,no SCAM,
EUOC LW,3,16.1,,
EUOC LW PHAU,3,7.4,,
JUAR HW,3,1.5,,
JUAR HW PHAU,3,19.9,,
JUGE HWO,3,1.1,,
PUNU HW,3,37.6,,
PUNU HW PHAU,3,5.3,,
EUMA LWO,3,25,,
JUAR HWO,3,2.7,,
BOMA HW,3,NA,no BOMA,
BOMA HW PHAU,3,9.6,,
EUOC HWO,3,22.8,,
BICE LW,3,36,,
BICE LW PHAU,3,1.9,,
RUMA LWO,3,42.2,,
BICE LWO,3,46.8,,
SOCA LWO,3,8.5,,
MUAS LWO,3,22.8,,
RUMA LW,3,59,,
RUMA LW PHAU,3,0.5,,
BOMA HWO,3,0.1,,
EUMA LW,3,20.5,,
EUMA LW PHAU,3,17.8,,
JUGE LW,3,<0.1,negligible,
JUGE LW PHAU,3,13.3,,
DISP LW,3,6.7,,
DISP LW PHAU,3,8.1,,
BICE HW,3,58.5,,
BICE HW PHAU,3,0.1,,
SCAM LW,3,<0.1,negligible,
SCAM LW PHAU,3,12.4,,
SYCI LW,3,30.5,,
SYCI LW PHAU,3,8.1,,
JUAR LWO,3,1.4,,
MUAS LW,3,19.4,,
MUAS LW PHAU,3,11.9,,
DISP LWO,3,10.1,,
PUNU HWO,3,40.3,,
RUMA HWO,3,56.3,,
SOCA LW,3,4.9,,
SOCA LW PHAU,3,9.1,,
MUAS HW,3,29.6,,
MUAS HW PHAU,3,4.1,,
BOMA LWO,3,NA,no BOMA,
EUOC LWO,3,18.6,,
SCAM HWO,3,<0.1,negligible,
DISP HWO,3,15.8,,
EUMA HWO,3,21.5,,
PHAU,3,15.2,,
SYCI HW,3,42.5,,
SYCI HW PHAU,3,1.4,,
EUMA HW,3,18.2,,
EUMA HW PHAU,3,2.5,,
SCPU HW,3,<0.1,negligible,
SCPU HW PHAU,3,0.8,,
EUOC HW,3,17.9,,
EUOC HW PHAU,3,1.4,,
MUAS HWO,3,22.3,,
SCPU HWO,3,0.4,,
PUNU LWO,3,24.2,,
SOCA HWO,3,12.3,,
DISP HW,3,5.7,,
DISP HW PHAU,3,1.7,,
EPCI LWO,3,33,,
SCAC HWO,3,0.1,,
